SensoDuino log file created:
DATE: 2014/4/29
TIME:  2:01:38
----------------------------
RotVec, 107, 0.026131263,0.028910408,-0.4130249, 3
AccLin, 108, -1.0831938,-2.9817176,5.4775467, 3
Gravity, 109, -0.9626524,0.26767427,9.755616, 3
RotVec, 110, 0.02148744,0.04485089,-0.21878973, 3
AccLin, 111, 0.512772,-0.60135496,-0.24137783, 3
Gravity, 112, -1.0397389,0.066429734,9.751149, 3
RotVec, 113, 0.0060818642,0.054451946,-0.03630289, 3
AccLin, 114, 0.7649935,0.9864511,1.0893221, 3
Gravity, 115, -0.6336635,-0.07049217,9.785903, 3
RotVec, 116, -0.0030781722,0.029884063,0.09313727, 3
AccLin, 117, -0.26624537,-0.26769137,-2.160943, 3
Gravity, 118, -0.38184646,0.33138818,9.793609, 3
RotVec, 119, 0.014790516,0.020875148,0.10423067, 3
AccLin, 120, 0.07285793,0.03564015,-1.1064463, 3
Gravity, 121, -0.25336653,0.0038426607,9.803376, 3
RotVec, 122, -0.0021129604,0.012309239,0.19321951, 3
AccLin, 123, 1.147363,0.46789265,1.0174751, 3
Gravity, 124, -0.3018167,0.046144653,9.801896, 3
RotVec, 125, -6.8339235E-5,0.013077255,0.25860932, 3
AccLin, 126, 0.22847608,0.37421018,-3.7818184, 3
Gravity, 127, -0.9236261,-0.75208753,9.734047, 3
RotVec, 128, -0.053596653,0.02542259,0.43783668, 3
AccLin, 129, 0.25532156,1.0325446,-1.8937664, 3
Gravity, 130, 0.3330441,0.6864399,9.776925, 3
RotVec, 131, 0.04058962,0.002214155,0.4915403, 3
AccLin, 132, -0.37932515,-0.3657124,2.4245424, 3
Gravity, 133, 0.07527987,-0.1005305,9.805846, 3
RotVec, 134, -0.0020787825,-0.008133951,0.46992218, 3
AccLin, 135, 0.22977504,-0.8227508,-0.13746738, 3
Gravity, 136, 0.45562696,-1.7249696,9.64299, 3
RotVec, 137, -0.06966911,-0.058972217,0.45710704, 3
AccLin, 138, -0.5194369,-0.08793342,0.53611755, 3
Gravity, 139, -0.37728527,-0.90978175,9.757067, 3
RotVec, 140, -0.050676532,0.010123008,0.18790083, 3
AccLin, 141, -0.32518092,-0.61213356,1.8825521, 3
Gravity, 142, -1.0368758,-1.0251858,9.697642, 3
RotVec, 143, -0.054358445,0.05428987,-0.025082404, 3
AccLin, 144, 0.46744072,-0.54901296,0.433527, 3
Gravity, 145, -1.1918528,-1.0114356,9.681264, 3
RotVec, 146, -0.031128267,0.073861375,-0.29185057, 3
AccLin, 147, -0.056337953,0.32787788,0.05542469, 3
Gravity, 148, -0.35379097,-1.0622679,9.742525, 3
RotVec, 149, -0.037327927,0.04604992,-0.49774548, 3
AccLin, 150, -0.87946415,-1.6291574,-0.25194645, 3
Gravity, 151, 0.80071974,-0.68849826,9.749626, 3
RotVec, 152, -0.055145208,-0.0033351076,-0.7327241, 3
